code,name_en,name_tc,address_en,address_tc,telephone,hours_en,hours_tc,lat,lng,district,district_tc,sub_district,sub_district_tc,type,bizTypeCode,cold_chain
H852FEB2P,"Locker No.1, Shop 127A,,Chung On Shopping Centre, Ma On Shan",自助櫃 馬鞍山頌安商場一樓一號櫃,"Locker No.1, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan*",馬鞍山頌安商場一樓127A號鋪一號櫃(入門口向前行)*,,06:00-23:00,06:00-23:00 周六:06:00-23:00 周日:06:00-23:00 節假日:06:00-23:00,22.4214001,114.226434,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB3P,"Locker No.2, Shop 127A,Chung On Shopping Centre, Ma On Shan",自助櫃 馬鞍山頌安商場一樓二號櫃,"Locker No.2, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan*",馬鞍山頌安商場一樓127A號鋪二號櫃(入門口向右、靠近門口)*,,06:00-23:00,06:00-23:00 周六:06:00-23:00 周日:06:00-23:00 節假日:06:00-23:00,22.4214001,114.226434,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB4P,"Locker No.3, Shop 127A,Chung On Shopping Centre, Ma On Shan ",自助櫃 馬鞍山頌安商場一樓三號櫃,"Locker No.3, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan *",馬鞍山頌安商場一樓127A號鋪三號櫃(入門口向前行、第一條通道轉右)*,,06:00-23:00,06:00-23:00 周六:06:00-23:00 周日:06:00-23:00 節假日:06:00-23:00,22.4214001,114.226434,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB5P,"Locker No.4, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan",自助櫃 馬鞍山頌安商場一樓四號櫃,"Locker No.4, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan*",馬鞍山頌安商場一樓127A號鋪四號櫃(入門口向前行、第一條通道轉右)*,,06:00-23:00,06:00-23:00 周六:06:00-23:00 周日:06:00-23:00 節假日:06:00-23:00,22.4214001,114.226434,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB6P,"Locker No.5,Shop 127A,Chung On Shopping Centre, Ma On Shan",自助櫃 馬鞍山頌安商場一樓五號櫃,"Locker No.5, Shop 127A, 1/F,Chung On Shopping Centre, Ma On Shan*",馬鞍山頌安商場一樓127A號鋪五號櫃(入門口向前行、第二條通道轉右)*,,06:00-23:00,06:00-23:00 周六:06:00-23:00 周日:06:00-23:00 節假日:06:00-23:00,22.4214001,114.226434,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB7P,"Nearby Bicycle Parking Area, B1, Altissimo, 11 Yiu Sha Road, Ma On Shan, New Territories(Residentsonly)*",自助櫃 馬鞍山泓碧,"Nearby Bicycle Parking Area, B1, Altissimo, Ma On Shan(Residentsonly)*",馬鞍山泓碧單車停泊處旁(只供住戶使用)*,,00:00-23:59,00:00-23:59,22.434596,114.243515,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEC2P,"Villa Concerto, Symphony Bay, No.530 Sai Sha Road, Ma On Shan",自助櫃 馬鞍山帝琴灣凱弦居,"Back Door of Club House, G/F, Villa Concerto, Symphony Bay, Ma On Shan(Residents only)*",馬鞍山帝琴灣凱弦居會所後門對出(只供住戶使用)*,,00:00-23:59,00:00-23:59,22.430255,114.250319,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEC3P,"Logistic Room, G/F, Sierra Sea, 8 Hoi Ying Road, Ma On Shan, New Territories",自助櫃 馬鞍山Sierra Sea(一號櫃),"Locker No.1, Logistic Room, G/F, Sierra Sea, Ma On Shan(Residents only)*",馬鞍山Sierra Sea物流房內一號櫃(只供住戶使用)*,,00:00-23:59,00:00-23:59,22.42678,114.265503,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEC4P,"Locker No.2, Logistic Room, G/F, Sierra Sea, 8 Hoi Ying Road, Ma On Shan, New Territories ",自助櫃 馬鞍山Sierra Sea(二號櫃),"Locker No.2, Logistic Room, G/F, Sierra Sea, Ma On Shan(Residents only)*",馬鞍山Sierra Sea物流房內二號櫃(只供住戶使用)*,,00:00-23:59,00:00-23:59,22.4267788,114.265413,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEC5P,Alva Hotel by Royal,自助櫃 沙田帝逸酒店,"Lobby, G/F, Alva Hotel by Royal, Sha Tin*",沙田帝逸酒店地下大堂*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.383759,114.208262,Sha Tin District,沙田區,Siu Lek Yuen,小瀝源,station,"3,5,6,7",false
